hosp,cases,lineDays,rate,ciLow,ciHigh,adherence,area
STATE OF CALIFORNIA POOLED DATA,116,61619,1.88,97.0,,,medical critical care
"ARROWHEAD RGN MED CTR, COLTON",9,2701,3.33,1.52,6.33,99.2,medical critical care
"CEDARS-SINAI MED CTR, LOS ANGELES",8,6205,1.29,0.56,2.54,98.7,medical critical care
"KAISER FOUNDATION HOSP, LOS ANGELES",2,2065,0.97,0.12,3.50,91.9,medical critical care
"LAC+USC MED CTR, LOS ANGELES",13,6072,2.14,1.14,3.66,99.4,medical critical care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",5,2352,2.13,0.69,4.96,95.1,medical critical care
LOMA LINDA UNIVERSITY MED CTR,27,7842,3.44,2.27,5.01,93.5,medical critical care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,medical critical care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,medical critical care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,medical critical care
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",3,2067,1.45,0.30,4.24,99.6,medical critical care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",18,14022,1.28,0.76,2.03,94.9,medical critical care
SAN FRANCISCO GENERAL HOSP,1,1768,0.57,0.01,3.15,98.9,medical critical care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",2,2959,0.68,0.08,2.44,96.6,medical critical care
SCRIPPS HEALTH,4,1437,2.78,0.76,7.13,95.7,medical critical care
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,,medical critical care
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,,medical critical care
"STANFORD HOSP, STANFORD",2,1832,1.09,0.13,3.94,100,medical critical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",8,4174,1.92,0.83,3.78,98.2,medical critical care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",4,3542,1.13,0.31,2.89,99.2,medical critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",10,2581,3.87,1.86,7.13,98.5,medical critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,medical critical care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,medical critical care
STATE OF CALIFORNIA POOLED DATA,80,49956,1.60,97.3,,,medical/surgical critical care
"CEDARS-SINAI MED CTR, LOS ANGELES",2,1397,1.43,0.17,5.17,93.7,medical/surgical critical care
"COMMUNITY REGIONAL MED CTR, FRESNO",15,9538,1.57,0.88,2.59,80.7,medical/surgical critical care
"KAISER FOUNDATION HOSP, LOS ANGELES",4,3386,1.18,0.32,3.02,94.9,medical/surgical critical care
"KECK HOSP OF USC, LOS ANGELES",5,3667,1.36,0.44,3.18,98.3,medical/surgical critical care
LOMA LINDA UNIVERSITY MED CTR,1,742,1.35,0.03,7.51,94.8,medical/surgical critical care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,medical/surgical critical care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,medical/surgical critical care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,medical/surgical critical care
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",4,5666,0.71,0.19,1.81,99.6,medical/surgical critical care
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",7,3333,2.10,0.84,4.33,99.0,medical/surgical critical care
SCRIPPS HEALTH,11,3184,3.45,1.72,6.18,95.9,medical/surgical critical care
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,,medical/surgical critical care
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,,medical/surgical critical care
"STANFORD HOSP, STANFORD",7,6483,1.08,0.43,2.22,99.4,medical/surgical critical care
