hosp,cases,lineDays,sir,ciLow,ciHigh,area
STATE OF CALIFORNIA POOLED DATA,1,889,1.12,,,neonatal step-down care
ALAMEDA COUNTY MED CTR,0,48,,,,neonatal step-down care
"ALAMEDA COUNTY MED CTR, OAKLAND",,,,,,neonatal step-down care
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",,,,,,neonatal step-down care
EL CENTRO REGIONAL MED CTR,0,5,,,,neonatal step-down care
"KAISER FOUNDATION HOSP, FRESNO",0,6,,,,neonatal step-down care
"KAISER FOUNDATION HOSP, SANTA ROSA",0,2,,,,neonatal step-down care
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,0,1,,,,neonatal step-down care
KAISER FOUNDATION HOSPS,0,32,,,,neonatal step-down care
"KAISER FOUNDATION HOSP, MODESTO",,,,,,neonatal step-down care
"KAISER FOUNDATION HOSP, MANTECA",,,,,,neonatal step-down care
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",0,210,0.00,0.00,14.27,neonatal step-down care
"MEMORIAL MED CTR, MODESTO",0,20,,,,neonatal step-down care
METHODIST HOSP OF SACRAMENTO,1,100,10.00,0.25,55.72,neonatal step-down care
MILLS-PENINSULA HEALTH SERVICES,0,3,,,,neonatal step-down care
"MILLS HEALTH CTR, SAN MATEO",,,,,,neonatal step-down care
"MILLS-PENINSULA MED CTR, BURLINGAME",,,,,,neonatal step-down care
"POMERADO HOSP, POWAY",0,25,,,,neonatal step-down care
SCRIPPS HEALTH,0,23,,,,neonatal step-down care
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,neonatal step-down care
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,neonatal step-down care
SHARP CHULA VISTA MED CTR,0,116,0.00,0.00,25.83,neonatal step-down care
"SUTTER DELTA MED CTR, ANTIOCH",0,45,,,,neonatal step-down care
"SUTTER MED CTR, CASTRO VALLEY",0,7,,,,neonatal step-down care
"EDEN MED CTR, CASTRO VALLEY",,,,,,neonatal step-down care
SAN LEANDRO HOSP,,,,,,neonatal step-down care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",0,205,0.00,0.00,14.61,neonatal step-down care
WATSONVILLE COMMUNITY HOSP,0,41,,,,neonatal step-down care
STATE OF CALIFORNIA POOLED DATA,0,392,0.00,,,pediatric step-down care
